% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
3.001	1	1	301	2	1	14	1527	14	1527
3.008	1	1	301	9	1	0	0	14	1527
3.016	1	1	302	7	1	14	1527	14	1527
3.023	1	1	303	4	1	0	0	14	1527
3.031	1	1	304	2	1	14	1527	14	1527
3.038	1	1	304	9	1	0	0	14	1527
3.046	1	1	305	7	1	14	1527	14	1527
3.061	1	1	307	2	1	14	1527	14	1527
3.076	1	1	308	7	1	14	1527	14	1527
3.077	1	1	308	8	1	14	1527	14	1527
3.084	1	1	309	5	1	0	0	14	1527
3.091	1	1	310	2	1	14	1527	14	1527
3.092	1	1	310	3	1	14	1527	14	1527
3.106	1	1	311	7	1	14	1527	14	1527
3.107	1	1	311	8	1	14	1527	14	1527
3.108	1	1	311	9	1	14	1527	14	1527
3.115	1	1	312	6	1	0	0	14	1527
3.121	1	1	313	2	1	14	1527	14	1527
3.122	1	1	313	3	1	14	1527	14	1527
3.123	1	1	313	4	1	14	1527	14	1527
3.124	1	1	313	5	1	14	1527	14	1527
3.131	1	1	314	2	1	0	0	14	1527
3.136	1	1	314	7	1	14	1527	14	1527
3.137	1	1	314	8	1	14	1527	14	1527
3.138	1	1	314	9	1	14	1527	14	1527
3.139	1	1	314	10	1	14	1527	14	1527
3.146	1	1	315	7	1	0	0	14	1527
3.151	1	1	316	2	1	14	1527	14	1527
3.166	1	1	317	7	1	14	1527	14	1527
3.181	1	1	319	2	1	14	1527	14	1527
3.196	1	1	320	7	1	14	1527	14	1527
3.197	1	1	320	8	1	14	1527	14	1527
3.204	1	1	321	5	1	0	0	14	1527
3.211	1	1	322	2	1	14	1527	14	1527
3.212	1	1	322	3	1	14	1527	14	1527
3.219	1	1	322	10	1	0	0	14	1527
3.226	1	1	323	7	1	14	1527	14	1527
3.227	1	1	323	8	1	14	1527	14	1527
3.241	1	1	325	2	1	14	1527	14	1527
3.242	1	1	325	3	1	14	1527	14	1527
3.256	1	1	326	7	1	14	1527	14	1527
3.257	1	1	326	8	1	14	1527	14	1527
3.271	1	1	328	2	1	14	1527	14	1527
3.272	1	1	328	3	1	14	1527	14	1527
3.273	1	1	328	4	1	14	1527	14	1527
3.28	1	1	329	1	1	0	0	14	1527
3.286	1	1	329	7	1	14	1527	14	1527
3.287	1	1	329	8	1	14	1527	14	1527
3.288	1	1	329	9	1	14	1527	14	1527
3.295	1	1	330	6	1	0	0	14	1527
3.301	1	1	331	2	1	14	1527	14	1527
3.302	1	1	331	3	1	14	1527	14	1527
3.303	1	1	331	4	1	14	1527	14	1527
3.316	1	1	332	7	1	14	1527	14	1527
3.317	1	1	332	8	1	14	1527	14	1527
3.318	1	1	332	9	1	14	1527	14	1527
3.331	1	1	334	2	1	14	1527	14	1527
3.332	1	1	334	3	1	14	1527	14	1527
3.333	1	1	334	4	1	14	1527	14	1527
3.346	1	1	335	7	1	14	1527	14	1527
3.347	1	1	335	8	1	14	1527	14	1527
3.348	1	1	335	9	1	14	1527	14	1527
3.361	1	1	337	2	1	14	1527	14	1527
3.362	1	1	337	3	1	14	1527	14	1527
3.363	1	1	337	4	1	14	1527	14	1527
3.376	1	1	338	7	1	14	1527	14	1527
3.377	1	1	338	8	1	14	1527	14	1527
3.378	1	1	338	9	1	14	1527	14	1527
3.391	1	1	340	2	1	14	1527	14	1527
3.392	1	1	340	3	1	14	1527	14	1527
3.393	1	1	340	4	1	14	1527	14	1527
3.406	1	1	341	7	1	14	1527	14	1527
3.407	1	1	341	8	1	14	1527	14	1527
3.408	1	1	341	9	1	14	1527	14	1527
3.409	1	1	341	10	1	14	1527	14	1527
3.416	1	1	342	7	1	0	0	14	1527
3.421	1	1	343	2	1	14	1527	14	1527
3.422	1	1	343	3	1	14	1527	14	1527
3.423	1	1	343	4	1	14	1527	14	1527
3.424	1	1	343	5	1	14	1527	14	1527
3.431	1	1	344	2	1	0	0	14	1527
3.436	1	1	344	7	1	14	1527	14	1527
3.437	1	1	344	8	1	14	1527	14	1527
