% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
3.009	1	1	301	10	1	14	1620
3.024	1	1	303	5	1	14	1620
3.039	1	1	304	10	1	14	1620
3.054	1	1	306	5	1	14	1620
3.069	1	1	307	10	1	14	1620
3.084	1	1	309	5	1	14	1620
3.099	1	1	310	10	1	14	1620
3.114	1	1	312	5	1	14	1620
3.115	1	1	312	6	1	14	1620
3.129	1	1	313	10	1	14	1620
3.13	1	1	314	1	1	14	1620
3.131	1	1	314	2	1	14	1620
3.144	1	1	315	5	1	14	1620
3.145	1	1	315	6	1	14	1620
3.146	1	1	315	7	1	14	1620
3.159	1	1	316	10	1	14	1620
3.174	1	1	318	5	1	14	1620
3.189	1	1	319	10	1	14	1620
3.204	1	1	321	5	1	14	1620
3.219	1	1	322	10	1	14	1620
3.234	1	1	324	5	1	14	1620
3.249	1	1	325	10	1	14	1620
3.25	1	1	326	1	1	14	1620
3.264	1	1	327	5	1	14	1620
3.265	1	1	327	6	1	14	1620
3.279	1	1	328	10	1	14	1620
3.28	1	1	329	1	1	14	1620
3.294	1	1	330	5	1	14	1620
3.295	1	1	330	6	1	14	1620
3.309	1	1	331	10	1	14	1620
3.31	1	1	332	1	1	14	1620
3.324	1	1	333	5	1	14	1620
3.325	1	1	333	6	1	14	1620
3.339	1	1	334	10	1	14	1620
3.34	1	1	335	1	1	14	1620
3.354	1	1	336	5	1	14	1620
3.355	1	1	336	6	1	14	1620
3.369	1	1	337	10	1	14	1620
3.37	1	1	338	1	1	14	1620
3.384	1	1	339	5	1	14	1620
3.385	1	1	339	6	1	14	1620
3.399	1	1	340	10	1	14	1620
3.4	1	1	341	1	1	14	1620
3.414	1	1	342	5	1	14	1620
3.415	1	1	342	6	1	14	1620
3.429	1	1	343	10	1	14	1620
3.43	1	1	344	1	1	14	1620
3.444	1	1	345	5	1	14	1620
3.445	1	1	345	6	1	14	1620
3.459	1	1	346	10	1	14	1620
3.46	1	1	347	1	1	14	1620
3.461	1	1	347	2	1	14	1620
3.474	1	1	348	5	1	14	1620
3.475	1	1	348	6	1	14	1620
3.489	1	1	349	10	1	14	1620
3.49	1	1	350	1	1	14	1620
3.491	1	1	350	2	1	14	1620
3.504	1	1	351	5	1	14	1620
3.519	1	1	352	10	1	14	1620
3.534	1	1	354	5	1	14	1620
3.549	1	1	355	10	1	14	1620
3.55	1	1	356	1	1	14	1620
3.564	1	1	357	5	1	14	1620
3.565	1	1	357	6	1	14	1620
3.579	1	1	358	10	1	14	1620
3.58	1	1	359	1	1	14	1620
3.594	1	1	360	5	1	14	1620
3.595	1	1	360	6	1	14	1620
3.609	1	1	361	10	1	14	1620
3.61	1	1	362	1	1	14	1620
3.624	1	1	363	5	1	14	1620
3.625	1	1	363	6	1	14	1620
3.639	1	1	364	10	1	14	1620
3.64	1	1	365	1	1	14	1620
3.654	1	1	366	5	1	14	1620
3.655	1	1	366	6	1	14	1620
3.669	1	1	367	10	1	14	1620
3.67	1	1	368	1	1	14	1620
3.684	1	1	369	5	1	14	1620
3.685	1	1	369	6	1	14	1620
3.699	1	1	370	10	1	14	1620
3.7	1	1	371	1	1	14	1620
3.714	1	1	372	5	1	14	1620
3.715	1	1	372	6	1	14	1620
3.729	1	1	373	10	1	14	1620
3.73	1	1	374	1	1	14	1620
3.744	1	1	375	5	1	14	1620
3.745	1	1	375	6	1	14	1620
3.759	1	1	376	10	1	14	1620
3.76	1	1	377	1	1	14	1620
3.774	1	1	378	5	1	14	1620
3.775	1	1	378	6	1	14	1620
3.789	1	1	379	10	1	14	1620
3.79	1	1	380	1	1	14	1620
3.804	1	1	381	5	1	14	1620
3.805	1	1	381	6	1	14	1620
3.819	1	1	382	10	1	14	1620
3.82	1	1	383	1	1	14	1620
3.821	1	1	383	2	1	14	1620
3.834	1	1	384	5	1	14	1620
3.835	1	1	384	6	1	14	1620
3.849	1	1	385	10	1	14	1620
3.85	1	1	386	1	1	14	1620
3.851	1	1	386	2	1	14	1620
3.864	1	1	387	5	1	14	1620
3.879	1	1	388	10	1	14	1620
3.894	1	1	390	5	1	14	1620
3.909	1	1	391	10	1	14	1620
3.91	1	1	392	1	1	14	1620
3.924	1	1	393	5	1	14	1620
3.925	1	1	393	6	1	14	1620
3.939	1	1	394	10	1	14	1620
3.94	1	1	395	1	1	14	1620
3.954	1	1	396	5	1	14	1620
3.955	1	1	396	6	1	14	1620
3.969	1	1	397	10	1	14	1620
3.97	1	1	398	1	1	14	1620
3.984	1	1	399	5	1	14	1620
3.985	1	1	399	6	1	14	1620
3.999	1	1	400	10	1	14	1620
4	1	1	401	1	1	14	1620
4.014	1	1	402	5	1	14	1620
4.015	1	1	402	6	1	14	1620
4.029	1	1	403	10	1	14	1620
4.03	1	1	404	1	1	14	1620
4.044	1	1	405	5	1	14	1620
4.045	1	1	405	6	1	14	1620
4.059	1	1	406	10	1	14	1620
4.06	1	1	407	1	1	14	1620
4.074	1	1	408	5	1	14	1620
4.075	1	1	408	6	1	14	1620
4.089	1	1	409	10	1	14	1620
4.09	1	1	410	1	1	14	1620
4.104	1	1	411	5	1	14	1620
4.105	1	1	411	6	1	14	1620
4.119	1	1	412	10	1	14	1620
4.12	1	1	413	1	1	14	1620
4.134	1	1	414	5	1	14	1620
4.135	1	1	414	6	1	14	1620
4.149	1	1	415	10	1	14	1620
4.15	1	1	416	1	1	14	1620
4.164	1	1	417	5	1	14	1620
4.165	1	1	417	6	1	14	1620
4.179	1	1	418	10	1	14	1620
4.18	1	1	419	1	1	14	1620
4.181	1	1	419	2	1	14	1620
4.194	1	1	420	5	1	14	1620
4.195	1	1	420	6	1	14	1620
4.209	1	1	421	10	1	14	1620
4.21	1	1	422	1	1	14	1620
4.211	1	1	422	2	1	14	1620
4.224	1	1	423	5	1	14	1620
4.239	1	1	424	10	1	14	1620
4.254	1	1	426	5	1	14	1620
4.269	1	1	427	10	1	14	1620
4.27	1	1	428	1	1	14	1620
4.284	1	1	429	5	1	14	1620
4.285	1	1	429	6	1	14	1620
4.299	1	1	430	10	1	14	1620
4.3	1	1	431	1	1	14	1620
4.314	1	1	432	5	1	14	1620
4.315	1	1	432	6	1	14	1620
4.329	1	1	433	10	1	14	1620
4.33	1	1	434	1	1	14	1620
4.344	1	1	435	5	1	14	1620
4.345	1	1	435	6	1	14	1620
4.359	1	1	436	10	1	14	1620
4.36	1	1	437	1	1	14	1620
4.374	1	1	438	5	1	14	1620
4.375	1	1	438	6	1	14	1620
4.389	1	1	439	10	1	14	1620
4.39	1	1	440	1	1	14	1620
4.404	1	1	441	5	1	14	1620
4.405	1	1	441	6	1	14	1620
4.419	1	1	442	10	1	14	1620
4.42	1	1	443	1	1	14	1620
