% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
121	1	1	1	0	28	2292	0	1	1
121	2	2	1	0	28	2292	0	1	1
221	1	1	1	0	28	2292	0	1	1
221	2	2	1	0	28	2292	0	1	1
321	1	1	1	0	28	2292	0	1	1
321	2	2	1	0	28	2292	0	1	1
421	1	1	1	0	28	2292	0	1	1
421	2	2	1	0	28	2292	0	1	1
521	1	1	1	0	28	2292	0	1	1
521	2	2	1	0	28	2292	0	1	1
621	1	1	1	0	28	2292	0	1	1
621	2	2	1	0	28	2292	0	1	1
721	1	1	1	0	28	2292	0	1	1
721	2	2	1	0	28	2292	0	1	1
821	1	1	1	0	28	2292	0	1	1
821	2	2	1	0	28	2292	0	1	1
921	1	1	1	0	28	2292	0	1	1
921	2	2	1	0	28	2292	0	1	1
1021	1	1	1	0	28	2292	0	1	1
1021	2	2	1	0	28	2292	0	1	1
1121	1	1	1	0	28	2292	0	1	1
1121	2	2	1	0	28	2292	0	1	1
1221	1	1	1	0	28	2292	0	1	1
1221	2	2	1	0	28	2292	0	1	1
1321	1	1	1	0	28	2292	0	1	1
1321	2	2	1	0	28	2292	0	1	1
1421	1	1	1	0	28	2292	0	1	1
1421	2	2	1	0	28	2292	0	1	1
1521	1	1	1	0	28	2292	0	1	1
1521	2	2	1	0	28	2292	0	1	1
1621	1	1	1	0	28	2292	0	1	1
1621	2	2	1	0	28	2292	0	1	1
1721	1	1	1	0	28	2292	0	1	1
1721	2	2	1	0	28	2292	0	1	1
1821	1	1	1	0	28	2292	0	1	1
1821	2	2	1	0	28	2292	0	1	1
1921	1	1	1	0	28	2292	0	1	1
1921	2	2	1	0	28	2292	0	1	1
2021	1	1	1	0	28	2292	0	1	1
2021	2	2	1	0	28	2292	0	1	1
2121	1	1	1	0	28	2292	0	1	1
2121	2	2	1	0	28	2292	0	1	1
2221	1	1	1	0	28	2292	0	1	1
2221	2	2	1	0	28	2292	0	1	1
2321	1	1	1	0	28	2292	0	1	1
2321	2	2	1	0	28	2292	0	1	1
2421	1	1	1	0	28	2292	0	1	1
2421	2	2	1	0	28	2292	0	1	1
2521	1	1	1	0	28	2292	0	1	1
2521	2	2	1	0	28	2292	0	1	1
2621	1	1	1	0	28	2292	0	1	1
2621	2	2	1	0	28	2292	0	1	1
2721	1	1	1	0	28	2292	0	1	1
2721	2	2	1	0	28	2292	0	1	1
2821	1	1	1	0	28	2292	0	1	1
2821	2	2	1	0	28	2292	0	1	1
2921	1	1	1	0	28	2292	0	1	1
2921	2	2	1	0	28	2292	0	1	1
3021	1	1	1	0	28	2292	0	1	1
3021	2	2	1	0	28	2292	0	1	1
3121	1	1	1	0	28	2292	0	1	1
3121	2	2	1	0	28	2292	0	1	1
3221	1	1	1	0	28	2292	0	1	1
3221	2	2	1	0	28	2292	0	1	1
3321	1	1	1	0	28	2292	0	1	1
3321	2	2	1	0	28	2292	0	1	1
3421	1	1	1	0	28	2292	0	1	1
3421	2	2	1	0	28	2292	0	1	1
3521	1	1	1	0	28	2292	0	1	1
3521	2	2	1	0	28	2292	0	1	1
3621	1	1	1	0	28	2292	0	1	1
3621	2	2	1	0	28	2292	0	1	1
3721	1	1	1	0	28	2292	0	1	1
3721	2	2	1	0	28	2292	0	1	1
3821	1	1	1	0	28	2292	0	1	1
3821	2	2	1	0	28	2292	0	1	1
3921	1	1	1	0	28	2292	0	1	1
3921	2	2	1	0	28	2292	0	1	1
4021	1	1	1	0	28	2292	0	1	1
4021	2	2	1	0	28	2292	0	1	1
4121	1	1	1	0	28	2292	0	1	1
4121	2	2	1	0	28	2292	0	1	1
4221	1	1	1	0	28	2292	0	1	1
4221	2	2	1	0	28	2292	0	1	1
4321	1	1	1	0	28	2292	0	1	1
4321	2	2	1	0	28	2292	0	1	1
4421	1	1	1	0	28	2292	0	1	1
4421	2	2	1	0	28	2292	0	1	1
4521	1	1	1	0	28	2292	0	1	1
4521	2	2	1	0	28	2292	0	1	1
4621	1	1	1	0	28	2292	0	1	1
4621	2	2	1	0	28	2292	0	1	1
4721	1	1	1	0	28	2292	0	1	1
4721	2	2	1	0	28	2292	0	1	1
4821	1	1	1	0	28	2292	0	1	1
4821	2	2	1	0	28	2292	0	1	1
4921	1	1	1	0	28	2292	0	1	1
4921	2	2	1	0	28	2292	0	1	1
5021	1	1	1	0	28	2292	0	1	1
5021	2	2	1	0	28	2292	0	1	1
5121	1	1	1	0	28	2292	0	1	1
5121	2	2	1	0	28	2292	0	1	1
5221	1	1	1	0	28	2292	0	1	1
5221	2	2	1	0	28	2292	0	1	1
5321	1	1	1	0	28	2292	0	1	1
5321	2	2	1	0	28	2292	0	1	1
5421	1	1	1	0	28	2292	0	1	1
5421	2	2	1	0	28	2292	0	1	1
5521	1	1	1	0	28	2292	0	1	1
5521	2	2	1	0	28	2292	0	1	1
5621	1	1	1	0	28	2292	0	1	1
5621	2	2	1	0	28	2292	0	1	1
5721	1	1	1	0	28	2292	0	1	1
5721	2	2	1	0	28	2292	0	1	1
5821	1	1	1	0	28	2292	0	1	1
5821	2	2	1	0	28	2292	0	1	1
5921	1	1	1	0	28	2292	0	1	1
5921	2	2	1	0	28	2292	0	1	1
6021	1	1	1	0	28	2292	0	1	1
6021	2	2	1	0	28	2292	0	1	1
6121	1	1	1	0	28	2292	0	1	1
6121	2	2	1	0	28	2292	0	1	1
6221	1	1	1	0	28	2292	0	1	1
6221	2	2	1	0	28	2292	0	1	1
6321	1	1	1	0	28	2292	0	1	1
6321	2	2	1	0	28	2292	0	1	1
6421	1	1	1	0	28	2292	0	1	1
6421	2	2	1	0	28	2292	0	1	1
6521	1	1	1	0	28	2292	0	1	1
6521	2	2	1	0	28	2292	0	1	1
6621	1	1	1	0	28	2292	0	1	1
6621	2	2	1	0	28	2292	0	1	1
6721	1	1	1	0	28	2292	0	1	1
6721	2	2	1	0	28	2292	0	1	1
6821	1	1	1	0	28	2292	0	1	1
6821	2	2	1	0	28	2292	0	1	1
6921	1	1	1	0	28	2292	0	1	1
6921	2	2	1	0	28	2292	0	1	1
7021	1	1	1	0	28	2292	0	1	1
7021	2	2	1	0	28	2292	0	1	1
7121	1	1	1	0	28	2292	0	1	1
7121	2	2	1	0	28	2292	0	1	1
7221	1	1	1	0	28	2292	0	1	1
7221	2	2	1	0	28	2292	0	1	1
7321	1	1	1	0	28	2292	0	1	1
7321	2	2	1	0	28	2292	0	1	1
7421	1	1	1	0	28	2292	0	1	1
7421	2	2	1	0	28	2292	0	1	1
7521	1	1	1	0	28	2292	0	1	1
7521	2	2	1	0	28	2292	0	1	1
7621	1	1	1	0	28	2292	0	1	1
7621	2	2	1	0	28	2292	0	1	1
7721	1	1	1	0	28	2292	0	1	1
7721	2	2	1	0	28	2292	0	1	1
7821	1	1	1	0	28	2292	0	1	1
7821	2	2	1	0	28	2292	0	1	1
7921	1	1	1	0	28	2292	0	1	1
7921	2	2	1	0	28	2292	0	1	1
8021	1	1	1	0	28	2292	0	1	1
8021	2	2	1	0	28	2292	0	1	1
8121	1	1	1	0	28	2292	0	1	1
8121	2	2	1	0	28	2292	0	1	1
8221	1	1	1	0	28	2292	0	1	1
8221	2	2	1	0	28	2292	0	1	1
8321	1	1	1	0	28	2292	0	1	1
8321	2	2	1	0	28	2292	0	1	1
8421	1	1	1	0	28	2292	0	1	1
8421	2	2	1	0	28	2292	0	1	1
8521	1	1	1	0	28	2292	0	1	1
8521	2	2	1	0	28	2292	0	1	1
8621	1	1	1	0	28	2292	0	1	1
8621	2	2	1	0	28	2292	0	1	1
8721	1	1	1	0	28	2292	0	1	1
8721	2	2	1	0	28	2292	0	1	1
8821	1	1	1	0	28	2292	0	1	1
8821	2	2	1	0	28	2292	0	1	1
8921	1	1	1	0	28	2292	0	1	1
8921	2	2	1	0	28	2292	0	1	1
9021	1	1	1	0	28	2292	0	1	1
9021	2	2	1	0	28	2292	0	1	1
9121	1	1	1	0	28	2292	0	1	1
9121	2	2	1	0	28	2292	0	1	1
9221	1	1	1	0	28	2292	0	1	1
9221	2	2	1	0	28	2292	0	1	1
9321	1	1	1	0	28	2292	0	1	1
9321	2	2	1	0	28	2292	0	1	1
9421	1	1	1	0	28	2292	0	1	1
9421	2	2	1	0	28	2292	0	1	1
9521	1	1	1	0	28	2292	0	1	1
9521	2	2	1	0	28	2292	0	1	1
9621	1	1	1	0	28	2292	0	1	1
9621	2	2	1	0	28	2292	0	1	1
9721	1	1	1	0	28	2292	0	1	1
9721	2	2	1	0	28	2292	0	1	1
9821	1	1	1	0	28	2292	0	1	1
9821	2	2	1	0	28	2292	0	1	1
9921	1	1	1	0	28	2292	0	1	1
9921	2	2	1	0	28	2292	0	1	1
